EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,1,1,0,2,2,0,11,tehnika; muhu; reena; kaitseliit
3,2,3,1,1,1,3,2,0,11,tehnika; muhu; reena; kaitseliit
3,2,3,1,1,1,3,2,0,11,tehnika; muhu; reena; kaitseliit
3,2,3,1,1,1,3,2,0,11,tehnika; muhu; reena; kaitseliit
3,2,3,1,1,1,3,2,0,11,tehnika; muhu; reena; kaitseliit
3,3,4,1,1,2,3,2,0,11,tehnika; muhu; reena; kaitseliit
3,3,3,1,2,2,3,2,0,11,tehnika; muhu; reena; kaitseliit
3,3,2,2,3,2,4,2,0,11,tehnika; muhu; reena; kaitseliit
3,2,3,3,4,2,4,1,0,11,tehnika; muhu; reena; kaitseliit
3,2,4,3,4,2,3,2,0,11,tehnika; muhu; reena; kaitseliit
1,2,4,3,4,3,4,3,0,11,tehnika; muhu; reena; kaitseliit
