EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,3,5,4,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,5,3,5,4,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,5,3,5,5,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,3,5,3,5,5,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,4,5,2,5,5,5,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
4,4,5,2,5,5,5,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,5,5,3,5,5,5,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,5,5,4,5,5,5,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,5,5,5,5,5,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,5,5,5,5,5,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,5,5,5,5,5,4,5,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
