EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,2,0,3,0,2,1,3,13,poola; jüri; andrus; adams; graafika; ansip; president
1,0,3,0,3,1,3,1,3,13,poola; jüri; andrus; adams; graafika; ansip; president
1,0,2,0,3,1,2,2,3,13,poola; jüri; andrus; adams; graafika; ansip; president
1,0,1,0,3,3,2,2,3,13,poola; jüri; andrus; adams; graafika; ansip; president
1,0,1,0,5,5,4,2,3,13,poola; jüri; andrus; adams; graafika; ansip; president
1,0,5,0,6,6,4,2,2,13,poola; jüri; andrus; adams; graafika; ansip; president
2,1,5,3,6,6,4,2,2,13,poola; jüri; andrus; adams; graafika; ansip; president
3,1,3,5,6,4,4,2,2,13,poola; jüri; andrus; adams; graafika; ansip; president
1,1,3,6,6,5,5,3,2,13,poola; jüri; andrus; adams; graafika; ansip; president
1,1,5,5,7,5,4,4,3,13,poola; jüri; andrus; adams; graafika; ansip; president
1,1,3,6,7,5,4,4,2,13,poola; jüri; andrus; adams; graafika; ansip; president
