EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
5,5,5,5,5,5,5,5,0,10,õigus; talu; vabadus; kolhoos; varandus
