EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,2,4,5,2,2,5,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,2,5,5,2,2,4,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,2,5,5,2,2,4,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,1,6,4,2,3,5,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
8,2,6,4,3,5,6,5,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,2,6,4,4,4,6,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
8,2,5,4,5,4,7,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
6,2,6,6,4,5,7,4,0,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
6,3,5,5,6,5,6,3,0,12,seljakott; trepp; madis; tuletõrje; korrus; vaheoja; aesma; indrek; jooks
6,4,5,5,6,5,8,6,0,12,seljakott; trepp; madis; tuletõrje; korrus; vaheoja; aesma; indrek; jooks
6,4,7,3,6,6,8,6,0,12,seljakott; trepp; madis; tuletõrje; korrus; vaheoja; aesma; indrek; jooks
