EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,7,3,3,3,4,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
5,5,7,3,3,3,4,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
5,5,7,3,4,3,5,2,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
5,5,6,3,4,3,5,2,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
5,5,4,3,4,4,5,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
4,5,4,3,5,4,4,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
2,6,4,4,5,4,5,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
2,5,4,4,6,4,5,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
1,5,3,6,6,4,5,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
2,5,3,6,6,4,5,3,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
2,4,2,6,6,4,5,4,0,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
