EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,7,3,2,4,5,6,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
5,6,7,3,2,4,5,6,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
3,5,6,3,3,5,5,6,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
3,5,6,3,3,4,5,7,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
3,5,6,3,3,4,5,7,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
3,5,6,3,5,4,6,7,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
4,4,6,2,5,5,5,7,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
4,5,6,5,6,7,5,7,6,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
3,5,7,6,6,6,4,7,6,13,hiiu; heinsoo; käär; merike; lili; sõna; lasteraamat
3,5,6,5,6,7,5,7,5,13,hiiu; heinsoo; käär; merike; lili; sõna; lasteraamat
3,5,6,5,6,7,5,7,3,13,hiiu; heinsoo; käär; merike; lili; sõna; lasteraamat
