EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,6,2,4,4,3,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,4,3,6,2,4,4,3,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,4,4,6,2,4,6,4,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,5,4,6,2,5,6,5,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,5,4,5,2,6,6,5,5,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,5,4,4,2,5,5,6,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,5,4,2,2,7,4,8,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,5,5,3,3,7,4,8,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,4,6,2,4,7,4,7,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,4,4,3,4,7,4,7,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,4,5,3,4,8,4,7,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
