EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
9,9,9,9,9,9,9,9,0,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
