EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,4,2,2,2,2,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
3,3,4,2,3,2,2,1,0,11,kristjan; epideemia; kuritegevus; sihtrühm; port
3,3,4,2,4,4,2,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
3,3,4,2,4,4,3,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,3,4,2,4,3,3,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,3,4,2,4,3,5,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,3,4,5,3,4,5,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,3,3,5,3,3,5,1,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
1,3,3,3,3,4,5,2,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
1,2,4,3,4,5,3,2,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,3,3,3,4,4,4,3,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
