EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,7,2,6,4,4,5,7,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,7,7,2,6,4,5,5,7,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,7,7,3,7,6,5,6,7,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,6,7,3,7,5,5,6,7,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,6,7,3,8,4,5,6,8,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
5,7,6,3,8,6,5,6,8,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,7,6,7,9,5,6,7,7,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,7,7,9,9,7,6,5,7,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,7,5,8,9,7,7,6,5,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,6,5,8,8,7,6,7,5,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
4,6,5,8,7,7,6,6,4,12,kinni; ivo; tema; poeg; uukkivi; tuisk; torm; käsi; isa
