EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,5,2,2,1,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,5,5,2,2,2,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,5,5,2,3,2,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,5,5,1,3,2,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,5,4,2,3,2,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,6,5,2,3,2,5,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,5,3,4,4,3,3,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,4,3,6,5,3,4,4,0,12,trahv; karistus; port; facebook; kristjan; euroopa
3,5,3,6,5,3,4,2,0,12,trahv; karistus; port; facebook; kristjan; euroopa
2,4,2,6,6,3,3,3,0,12,trahv; karistus; port; facebook; kristjan; euroopa
1,4,2,6,6,3,2,3,0,12,trahv; karistus; port; facebook; kristjan; euroopa
