EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,8,5,5,7,6,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
6,6,8,5,6,8,7,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
6,6,8,5,7,8,7,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
5,6,8,5,7,7,7,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
5,7,8,5,7,7,7,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
5,8,8,5,8,8,8,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
4,6,8,4,8,8,9,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
5,7,8,8,9,8,10,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
6,7,8,9,7,8,10,11,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
5,7,8,8,6,8,10,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
5,7,7,8,6,9,11,9,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
