EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,6,2,2,5,5,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
2,3,6,2,2,5,4,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
2,4,6,2,2,5,4,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
2,4,4,2,2,5,5,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
2,3,4,1,2,4,4,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,4,4,1,2,4,4,4,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,5,4,1,2,4,5,5,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,5,2,2,3,4,4,5,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
1,5,3,4,4,3,4,6,0,12,paul; seitse; süü; toomas; surmapattu; liialdus; ahnus
2,5,2,3,3,4,4,6,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
1,5,3,4,4,4,4,5,0,12,seitse; süü; toomas; liialdus; surmapattu; paul; ahnus
