EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,11,8,6,6,7,4,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,11,9,6,6,7,5,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,11,10,7,7,7,5,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,10,9,7,7,6,6,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,9,9,7,7,8,8,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,8,9,8,9,7,8,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
6,9,9,9,11,8,9,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
6,8,10,9,12,7,10,8,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
7,7,10,10,10,7,10,11,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
6,7,9,9,10,7,10,9,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
3,8,10,8,10,7,10,8,0,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
