EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,7,6,7,8,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
5,7,6,6,8,7,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,7,6,6,8,7,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,7,6,6,8,7,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,6,6,6,8,7,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
7,6,6,6,8,7,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,6,7,5,8,7,5,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
7,6,7,6,8,7,6,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,6,6,7,8,7,6,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
5,6,7,7,7,7,6,7,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
5,6,7,6,7,6,7,7,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
