EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,2,2,3,1,2,0,12,armutu; kristjan; portaal; nobeli; port
2,2,5,2,2,3,1,2,0,12,portaal; nobeli; port; armutu; kristjan
2,2,5,2,3,3,2,2,0,12,portaal; nobeli; port; armutu; kristjan
2,2,5,2,3,3,2,2,0,12,portaal; nobeli; port; armutu; kristjan
2,3,5,3,3,4,2,2,0,12,portaal; nobeli; port; armutu; kristjan
1,3,5,4,3,4,4,2,0,12,portaal; nobeli; port; armutu; kristjan
2,4,5,3,4,5,4,2,0,12,portaal; nobeli; port; armutu; kristjan
2,4,4,3,4,5,4,2,0,12,portaal; nobeli; port; armutu; kristjan
2,3,4,4,5,5,4,2,0,12,portaal; nobeli; port; armutu; kristjan
2,2,4,4,5,5,4,2,0,12,portaal; nobeli; port; armutu; kristjan
3,2,4,4,5,5,4,3,0,12,portaal; nobeli; port; armutu; kristjan
