EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,5,3,4,5,1,0,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
4,3,5,5,3,4,4,1,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,3,5,5,3,4,4,1,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,3,2,5,3,4,3,1,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,3,1,5,3,3,4,1,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,3,1,5,3,3,4,1,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,4,1,4,3,4,5,2,0,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
4,3,1,3,2,4,5,3,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
4,4,2,2,2,4,5,3,0,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
4,4,2,1,2,2,5,3,0,10,suvepäev; vana; lõuna-eesti; pillimäng; tants
5,2,3,2,0,2,5,4,0,10,suvepäev; lõuna-eesti; tants; pillimäng; vana
