EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,3,4,6,3,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,6,5,2,4,5,3,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,5,5,2,4,5,3,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,5,6,2,4,5,3,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,5,5,3,5,5,4,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,3,5,3,6,5,4,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,2,5,6,5,5,5,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
4,2,5,6,4,5,5,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
2,3,5,5,6,5,5,5,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
4,3,5,5,6,5,6,4,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
3,4,5,5,6,6,6,4,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
