EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,4,2,4,5,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
5,5,5,4,2,4,5,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
5,5,6,3,2,4,5,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
5,5,7,3,3,3,5,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
5,5,6,2,3,5,5,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
5,5,5,4,2,3,5,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
5,5,5,6,3,5,4,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
4,5,5,8,2,4,4,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; kanakasvataja; austraalia; ludwig; asundus; külaline
5,4,4,5,2,5,5,4,0,11,eesti; hoolitsemine; maastik; meeleliigutus; kanakasvataja; austraalia; ludwig; asundus; külaline
5,4,4,5,2,5,4,5,0,11,eesti; hoolitsemine; maastik; meeleliigutus; kanakasvataja; austraalia; ludwig; asundus; külaline
6,5,3,5,3,4,4,7,0,11,eesti; hoolitsemine; maastik; meeleliigutus; kanakasvataja; austraalia; ludwig; asundus; külaline
