EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,4,2,2,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,2,4,2,2,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,2,4,2,2,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,2,4,2,2,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,2,4,2,2,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,2,4,2,2,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,3,3,2,1,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,2,2,2,2,3,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
0,2,3,3,2,3,4,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,0,4,2,2,3,3,4,1,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,1,5,3,3,3,2,3,1,11,naisoboemängija; inglissarv; ingeli; klassikatähed; oboe
