EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,2,2,0,2,1,13,elizabeth; esselink; süntesaator; solex
3,4,2,2,2,2,0,2,1,13,elizabeth; esselink; süntesaator; solex
3,4,2,2,2,2,0,2,1,13,elizabeth; esselink; süntesaator; solex
3,4,2,2,2,2,0,2,1,13,elizabeth; esselink; süntesaator; solex
3,3,2,2,2,2,0,2,1,13,elizabeth; esselink; süntesaator; solex
3,3,2,2,2,2,0,2,1,13,elizabeth; esselink; süntesaator; solex
2,3,2,2,3,2,0,3,1,13,elizabeth; esselink; süntesaator; solex
1,2,2,3,2,2,2,2,1,13,elizabeth; esselink; süntesaator; solex
0,2,2,2,2,2,2,2,1,13,elizabeth; esselink; süntesaator; solex
0,2,2,3,2,1,2,1,1,13,elizabeth; esselink; süntesaator; solex
0,2,2,4,2,1,2,1,1,13,elizabeth; esselink; süntesaator; solex
