EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,3,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
5,8,4,5,5,6,5,5,4,16,kriska; narva; aivar; materjal; keraamika; orgaaniline; savinõu; kiviaja
