EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,3,0,2,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
3,2,2,3,0,2,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
3,2,2,3,0,2,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
3,2,2,3,0,2,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
3,2,2,3,0,2,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
4,2,3,3,0,2,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
2,2,3,2,0,3,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
2,1,3,3,0,3,3,3,1,10,sihtrühm; fbi; strateegia; ahnus
3,1,3,2,1,3,2,3,1,10,sihtrühm; fbi; strateegia; ahnus
3,2,3,3,1,3,2,3,1,10,sihtrühm; fbi; strateegia; ahnus
1,2,3,2,1,3,2,3,1,10,sihtrühm; fbi; strateegia; ahnus
