EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,4,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,4,3,6,5,5,5,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,6,3,3,6,5,5,4,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,6,5,2,3,6,6,5,6,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
