EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,4,6,8,4,4,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
6,2,4,6,8,4,4,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
6,2,4,6,8,4,4,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
6,2,4,6,8,4,4,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
6,2,4,6,8,4,4,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
6,2,4,6,8,4,4,8,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
6,2,4,6,8,4,4,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; tuba; ilmar; soolariiul; uus; martin
8,2,4,5,8,3,4,8,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
8,3,5,4,7,3,4,8,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
8,2,4,5,8,3,5,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
8,5,5,6,7,5,5,7,4,14,kõrvalised; maja; suhkrusaiapidu; isikud; tomusk; soolariiul; tuba; ilmar; uus; martin
