EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,0,0,2,1,1,0,0,2,11,tallinn; rahvatants; kirjandus; juured; arrak; tartu; jüri
6,0,0,2,1,1,0,0,2,11,tallinn; rahvatants; kirjandus; juured; arrak; tartu; jüri
6,0,0,2,1,1,0,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,1,0,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,1,0,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,1,0,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
3,0,0,2,1,0,0,0,3,11,tallinn; rahvatants; kirjandus; juured; arrak; tartu; jüri
4,1,0,4,1,0,2,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
3,2,1,4,3,0,3,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
0,2,1,4,4,0,2,0,3,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,2,1,5,4,1,2,0,4,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
