EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,3,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
2,1,3,2,2,3,3,3,2,11,reis; mulje; kanakasvataja; austraalia
3,2,3,3,2,3,3,3,2,11,austraalia; mulje; kanakasvataja; reis
3,1,2,3,1,3,3,3,2,11,austraalia; mulje; kanakasvataja; reis
4,1,2,2,2,3,2,3,2,11,austraalia; mulje; kanakasvataja; reis
