EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,3,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,3,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,3,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
5,5,4,2,5,6,7,7,4,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
