EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,3,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,4,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,4,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,4,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,4,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,4,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,3,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,3,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,4,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,3,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
4,5,4,3,1,4,4,5,3,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
