EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,8,5,6,6,4,4,6,4,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,4,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
5,8,5,6,6,4,4,6,5,12,nurk; vangla; raamat; kirjade; võitlus; ämber; martin; sidepidamine
