EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,9,4,6,6,3,3,5,6,18,arvuti; võrgustik; maailma; kommentaar; watson; thomas; port; kristjan; google; tehnoloogia; papadopolous; serveri
4,9,4,6,6,3,3,5,6,18,arvuti; võrgustik; maailma; kommentaar; watson; thomas; port; kristjan; google; tehnoloogia; papadopolous; serveri
4,9,4,6,6,3,3,5,6,18,arvuti; võrgustik; maailma; kommentaar; watson; thomas; port; kristjan; google; tehnoloogia; papadopolous; serveri
4,9,4,6,6,3,3,5,6,18,arvuti; võrgustik; maailma; kommentaar; watson; thomas; port; kristjan; google; tehnoloogia; papadopolous; serveri
4,9,4,6,6,3,3,5,6,18,arvuti; võrgustik; maailma; kommentaar; watson; thomas; port; kristjan; google; tehnoloogia; papadopolous; serveri
4,9,5,6,6,3,3,5,6,18,arvuti; võrgustik; maailma; kommentaar; watson; thomas; port; kristjan; google; tehnoloogia; papadopolous; serveri
7,9,5,6,6,3,3,7,6,18,tehnoloogia; kommentaar; thomas; port; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
8,9,5,5,6,3,3,6,6,18,arvuti; maailma; kommentaar; watson; thomas; tehnoloogia; port; kristjan; google; võrgustik; papadopolous; serveri
6,10,5,5,7,2,4,6,6,18,tehnoloogia; kommentaar; thomas; port; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
7,8,4,8,7,2,4,6,7,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
7,9,4,7,7,2,4,6,9,18,tehnoloogia; port; thomas; kommentaar; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
