EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
10,6,10,9,7,5,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
11,6,10,9,7,4,6,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
10,6,10,8,7,5,7,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
10,5,9,8,7,5,5,9,8,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
