EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,1,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
2,2,1,1,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
2,2,1,1,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
2,2,1,1,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
2,2,1,1,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
3,2,1,1,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
4,2,1,2,0,1,1,2,1,12,amazonas; inka; kindlus; surnute; linn
4,1,1,2,0,2,1,1,1,12,amazonas; inka; kindlus; surnute; linn
2,4,1,1,0,1,2,1,1,12,amazonas; päikese; inka; surnute; linn
2,4,2,2,1,2,2,1,2,12,amazonas; inka; kindlus; surnute; linn
2,2,1,1,1,1,3,2,2,12,amazonas; inka; kindlus; surnute; linn
