EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,3,8,7,7,5,6,5,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,10,3,8,7,7,5,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
9,10,6,6,7,7,4,7,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
9,11,3,9,8,8,6,6,6,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,9,5,9,8,8,9,9,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
