EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,5,4,5,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,3,3,5,4,5,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,3,3,5,4,5,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,3,3,5,4,5,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,3,3,5,4,5,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,3,3,5,4,5,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,3,2,5,4,5,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,3,2,5,4,5,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,3,5,5,6,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
3,4,2,4,4,6,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,3,4,6,5,5,3,13,ema; johan; torm; kon-tiki; isa; ütlemata
