EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,0,1,4,1,0,3,2,11,trahv; suhkrutrahv; karistus; andmete; aktsia; facebook
2,4,0,1,4,1,0,3,2,11,trahv; suhkrutrahv; karistus; andmete; aktsia; facebook
2,4,0,1,4,1,0,3,2,11,trahv; suhkrutrahv; karistus; andmete; aktsia; facebook
2,4,0,1,4,1,0,3,2,11,trahv; suhkrutrahv; karistus; andmete; aktsia; facebook
2,4,0,1,4,1,0,3,2,11,trahv; suhkrutrahv; karistus; andmete; aktsia; facebook
2,4,0,1,4,1,0,3,1,11,trahv; suhkrutrahv; karistus; andmete; aktsia; facebook
2,4,0,1,4,1,0,4,1,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,5,1,1,4,1,0,4,1,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
2,4,1,2,4,0,0,3,1,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
2,5,1,1,4,1,0,3,1,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,2,1,4,0,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
