EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,1,0,3,3,4,2,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; aegunud
4,3,2,1,0,3,3,4,2,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; aegunud
4,3,2,1,0,3,3,4,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; aegunud
4,3,2,1,0,3,3,4,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; aegunud
4,3,2,1,0,3,3,4,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; aegunud
4,3,2,1,0,3,3,7,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; evangelist; aegunud; tarbijalik
7,3,3,1,0,3,3,7,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; evangelist; hüpertroofia; aegunud; tarbijalik
6,3,3,3,0,3,4,5,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; evangelist; hüpertroofia; aegunud; tarbijalik
2,2,3,4,0,3,4,4,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; evangelist; hüpertroofia; aegunud; tarbijalik
3,2,3,1,0,3,5,4,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; evangelist; hüpertroofia; aegunud; tarbijalik
1,2,3,2,1,4,4,6,3,13,käegalöömine; surmapatt; kiusatus; kõrkus; hüpertroofia; evangelist; aegunud; tarbijalik
