EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,3,4,1,5,5,5,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
4,6,3,4,1,5,5,5,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
4,6,3,4,1,5,5,5,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
4,6,3,4,1,5,5,5,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
4,6,3,4,1,5,5,5,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
4,6,3,4,1,5,5,5,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
6,5,3,5,1,5,5,5,5,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
7,4,3,5,1,5,6,5,5,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
7,4,4,4,1,6,6,5,5,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
7,5,5,4,1,6,6,6,5,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
7,5,4,6,2,6,7,6,6,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
