EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
6,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,8,3,6,5,2,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
5,8,3,5,5,3,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
5,7,4,6,5,3,3,4,5,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
5,8,5,6,5,4,3,4,6,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
