EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,8,7,9,7,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,9,9,8,8,9,7,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,9,9,8,8,9,7,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,9,10,8,8,9,8,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,9,10,9,8,9,8,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,9,10,9,8,9,9,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,9,10,10,8,10,10,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,8,10,9,8,10,10,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,8,10,9,9,10,10,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
8,9,10,10,9,10,10,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
8,9,10,9,8,10,9,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
