EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,12,13,11,13,12,12,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
13,12,13,11,13,12,13,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
13,12,13,11,13,12,14,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
13,11,13,12,13,13,14,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
13,12,13,13,14,13,13,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
12,13,14,13,14,13,13,14,12,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
12,12,14,13,14,14,14,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
14,12,14,14,14,14,14,14,13,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
12,14,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
13,14,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
13,14,14,14,14,14,14,14,14,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
