EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,12,7,12,10,10,11,7,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
8,8,12,7,12,10,10,11,7,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
8,8,12,7,12,10,10,11,7,18,kommentaar; port; thomas; tehnoloogia; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
8,7,11,8,12,10,10,11,8,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,8,11,8,12,11,12,12,9,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,7,11,9,12,12,12,12,9,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,7,11,7,12,12,11,12,10,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
11,8,11,11,11,12,11,12,10,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
10,7,12,12,11,12,11,12,9,18,võrgustik; kommentaar; port; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; tehnoloogia
9,9,12,12,12,12,11,12,10,18,kommentaar; port; tehnoloogia; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
9,9,11,12,12,12,11,12,11,18,kommentaar; port; tehnoloogia; thomas; kamazon; arvuti; valitsemine; maailm; server; watson; kristjan; võrgustik
