EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,6,4,2,3,6,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,6,6,3,2,3,6,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,6,6,3,2,3,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,6,6,3,2,3,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,6,6,6,3,2,4,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,6,6,6,3,3,5,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,5,5,3,5,5,5,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,6,5,4,5,5,4,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
7,6,2,4,2,5,4,6,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,6,4,3,3,5,5,4,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,5,5,3,6,6,5,5,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
