EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,6,7,4,4,5,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,7,6,7,4,4,5,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,7,6,7,4,5,6,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,7,6,7,5,6,6,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
5,6,7,7,6,6,6,5,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
5,6,6,7,6,7,7,6,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,7,7,6,7,7,6,5,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,5,6,7,5,7,7,6,6,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,7,7,5,7,7,6,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
5,5,6,7,5,7,7,4,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,6,6,6,7,7,4,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
