EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,3,5,5,6,5,6,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
5,4,5,3,6,5,6,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
6,4,5,3,6,5,6,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
6,4,5,4,6,5,6,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
7,4,5,4,6,5,5,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
7,4,6,4,6,5,4,6,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
6,4,7,5,6,6,4,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
4,4,7,6,7,5,5,5,5,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
6,4,6,6,6,7,5,5,5,16,aus; elering; inflatsioon; tartu; komisjon; euro; euroopa
3,5,6,6,6,7,5,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
4,5,6,7,6,7,5,5,5,16,aus; inflatsioon; euroopa; tartu; komisjon; euro; elering
