EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
15,11,6,7,9,7,5,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
15,12,7,7,9,7,5,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
15,12,7,7,9,7,5,8,11,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
15,13,8,7,10,7,6,8,11,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
13,13,9,7,10,7,6,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
12,13,12,8,11,9,6,8,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
10,10,12,11,11,9,11,9,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
8,12,9,13,13,10,10,12,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
8,12,10,11,13,8,8,11,12,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
7,11,13,11,12,6,7,11,13,21,meisterjaan; alter; dragons; and; two; festival; roll; erki; rock; raadio; eurosonic; the; kaks; holland; soonik
6,9,9,11,11,8,8,13,11,21,meisterjaan; alter; dragons; and; two; festival; roll; erki; rock; raadio; eurosonic; the; kaks; holland; soonik
