EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,5,8,6,7,6,8,7,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,5,8,6,7,6,8,7,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,5,8,6,6,6,9,7,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,8,8,6,6,6,9,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,9,8,6,7,7,9,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
8,9,10,8,6,7,7,9,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
9,9,11,8,5,7,7,10,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
6,8,10,10,6,8,7,8,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
6,8,9,6,8,5,8,10,5,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
5,8,8,5,8,6,8,9,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
7,6,10,6,7,6,8,8,6,13,elizabeth; elektroonika; rokkansambel; süntesaator; populaarmuusika; elektripill; sampel; sooloettevõtmine; esselink; holland; solex
