EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,1,2,0,3,3,3,11,laps; looming; ülo; õppima; granaat
2,4,3,1,2,0,3,3,3,11,laps; looming; ülo; õppima; granaat
2,4,3,1,2,0,3,3,3,11,laps; looming; ülo; õppima; granaat
3,4,3,1,2,3,3,3,3,11,laps; ülo; looming; õppima; granaat
5,4,4,2,2,1,3,3,3,11,laps; looming; õppima; ülo; granaat
4,4,4,1,2,4,4,5,3,11,looming; laps; õppima; ülo; granaat
5,3,4,3,3,3,5,4,3,11,looming; laps; õppima; ülo; granaat
4,3,3,5,4,4,5,5,3,11,looming; laps; õppima; ülo; granaat
3,2,2,5,4,3,5,5,4,11,laps; looming; õppima; ülo; granaat
3,3,3,4,4,4,4,5,5,11,looming; laps; õppima; ülo; granaat
2,2,3,5,4,5,5,3,4,11,laps; looming; õppima; ülo; granaat
