EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,6,8,4,3,5,9,4,11,veetöötlusjaam; tervisehäire; hapnik; veevarustussüsteem; raud; veevärk; vesi; joogiveemäärus; põhjaveekompleks; kvaliteet
8,8,7,8,5,3,5,9,4,11,veetöötlusjaam; tervisehäire; hapnik; veevarustussüsteem; raud; veevärk; vesi; joogiveemäärus; põhjaveekompleks; kvaliteet
8,7,7,8,5,3,5,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,7,8,8,5,3,5,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
7,7,9,8,5,3,4,8,4,11,veetöötlusjaam; veevärk; vesi; tervisehäire; hapnik; veevarustussüsteem; joogiveemäärus; raud; põhjaveekompleks; kvaliteet
7,7,8,9,5,6,7,9,4,11,veetöötlusjaam; põhjaveekompleks; hapnik; veevarustussüsteem; raud; veevärk; vesi; joogiveemäärus; tervisehäire; kvaliteet
6,6,7,8,4,4,6,8,3,11,veetöötlusjaam; veevärk; vesi; tervisehäire; veevarustussüsteem; hapnik; joogiveemäärus; raud; põhjaveekompleks; kvaliteet
9,6,7,8,3,7,6,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,6,7,8,4,5,7,8,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
8,6,2,8,5,6,5,7,4,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
6,5,5,8,6,6,5,7,5,11,veetöötlusjaam; veevärk; vesi; põhjaveekompleks; hapnik; veevarustussüsteem; joogiveemäärus; raud; tervisehäire; kvaliteet
