EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,9,10,7,10,10,10,6,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
8,8,9,10,7,10,10,10,6,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
8,8,9,10,8,10,10,10,6,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
9,10,9,10,8,10,11,10,6,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
8,10,9,10,9,11,11,11,6,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
7,9,10,10,9,11,11,11,7,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
7,9,11,11,9,9,11,10,8,11,jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
7,8,9,10,10,9,11,11,10,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
7,8,11,10,10,10,10,10,10,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
10,9,11,10,10,10,10,9,10,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
10,8,10,10,9,8,10,10,10,11,dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert; mozart; gerretz; solist; viiul; konservatoorium
