EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,2,1,2,3,3,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
5,6,4,2,2,2,3,3,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
5,5,5,2,2,2,3,4,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
5,5,4,3,2,3,4,4,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
5,5,5,3,2,3,3,3,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
3,5,5,3,3,6,5,3,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
5,5,4,3,3,5,6,3,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
4,5,3,3,2,5,4,3,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
4,5,4,3,2,4,3,5,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
4,5,3,3,2,5,3,5,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
3,5,3,3,2,4,4,5,6,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
