EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,4,8,6,7,6,8,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
9,8,7,4,8,6,7,6,8,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
9,7,7,6,8,6,7,5,8,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
9,7,8,6,8,6,7,5,8,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
10,7,9,6,8,7,5,5,8,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
7,7,10,6,8,6,6,5,8,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
5,9,8,7,9,7,10,6,8,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
6,9,9,8,10,9,9,7,7,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
6,6,10,8,9,8,10,7,5,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
6,8,8,7,9,9,9,8,7,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
5,7,9,7,8,10,9,10,6,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
