EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,4,4,9,9,8,7,15,õppimine; sõnaloome; soome; johannes; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
8,7,7,4,3,9,9,8,7,15,õppimine; sõnaloome; soome; johannes; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
8,8,7,4,3,9,9,7,7,15,õppimine; sõnaloome; soome; johannes; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
8,8,10,4,4,9,9,7,7,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
8,8,11,4,6,8,10,9,8,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
10,8,9,4,8,9,11,10,8,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
10,10,9,6,7,8,8,11,7,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
8,7,9,10,9,6,9,12,8,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
7,6,11,9,8,6,7,8,9,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
8,8,9,11,9,6,8,8,10,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
6,7,10,9,10,7,7,9,12,15,õppimine; sõnaloome; soome; johannes; mika; sõnavõistlus; keränen; aavik; vend; eesti; võõrsõna; keel; raamat; kirjutamine; kullo
