EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,6,2,8,6,8,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,9,9,7,2,8,6,8,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,9,7,2,8,6,9,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,10,7,2,7,6,9,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,10,6,3,7,6,9,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
10,9,8,8,3,8,7,10,6,11,lilleäri; perekond; laulukoor; näitleja; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,8,9,8,3,9,7,11,6,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,8,10,8,3,8,7,11,5,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,6,10,7,5,9,6,10,5,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
9,8,9,7,6,7,6,11,6,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
8,7,10,7,7,7,6,10,6,11,lilleäri; perekond; näitleja; laulukoor; lapsepõlv; teater; orkester; proovitöö; viiul; kuuskemaa; estonia
