EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,10,11,4,13,11,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
11,10,10,11,4,13,11,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
12,10,10,11,4,13,12,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
11,11,10,11,4,13,12,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
11,11,11,11,4,13,13,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
12,12,11,11,3,12,13,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
11,12,11,9,4,11,12,13,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
10,11,13,7,5,11,12,12,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleõpe; keeleoskus
10,11,10,7,5,10,11,10,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
8,11,12,7,5,8,10,9,9,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelterikas; keelepoliitika; keeleõpe; keeleoskus
8,11,11,7,7,7,8,8,8,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelterikas; keelepoliitika; keeleõpe; keeleoskus
