EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,7,7,5,6,9,7,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,9,8,7,7,6,6,9,7,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,9,8,7,8,6,9,9,7,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,9,8,7,8,7,9,9,7,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,9,8,8,8,8,9,9,7,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,9,8,8,8,9,9,9,8,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,8,9,9,8,9,9,9,8,11,stuudio; šokolaad; raadio; lugu; album; ansambel; agent; plaat; queen
8,8,9,9,8,9,9,9,8,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
8,9,9,9,7,9,9,9,8,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
7,9,9,9,8,9,9,9,8,11,lugu; ansambel; agent; album; stuudio; šokolaad; raadio; plaat; queen
9,9,9,9,8,9,9,9,8,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
