EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,9,10,8,9,9,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,9,10,8,9,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,9,10,8,9,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,9,10,8,10,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,9,10,7,10,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,10,10,7,10,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
7,10,9,9,7,10,9,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
8,10,9,9,8,10,10,9,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,9,9,7,10,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
9,10,10,7,7,10,10,10,10,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
10,9,8,7,7,10,10,9,9,11,ema; katariina; redel; kool; katus; töö; ronima; lõpp; poiss; kohvik
