EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,4,1,2,3,2,4,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
5,5,2,4,1,3,2,2,4,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
5,5,2,4,1,3,2,3,4,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
6,5,3,4,1,4,2,5,4,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
5,4,4,4,2,4,3,5,4,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
5,3,5,4,2,4,2,4,4,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
6,4,4,6,2,4,3,5,4,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
4,5,5,7,2,5,2,4,4,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
3,5,4,5,4,4,3,4,5,12,hõff; sammas; gruusia; jaapan; hanno; pevkur; euroopa
2,5,4,5,3,6,3,6,4,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
1,4,6,5,4,4,2,6,4,12,hõff; gruusia; sammas; jaapan; hanno; pevkur; euroopa
