EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,7,4,5,6,6,4,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,9,8,7,5,5,7,6,4,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,9,8,8,5,6,8,5,4,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,9,8,8,5,6,8,7,4,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
9,9,10,8,5,8,8,8,4,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,8,11,7,4,10,8,10,5,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; radar; meremees; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
8,8,10,7,5,8,10,7,5,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,8,10,7,4,9,9,7,4,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,7,9,6,5,8,8,8,6,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,6,7,5,5,6,7,8,5,11,merehariduskeskus; rannavalve; hüdrodünaamika; veetee; meremees; radar; territoriaalvesi; päästeoperatsioon; liikluskontroll; kiirkaater; amet
7,4,7,6,4,6,6,7,5,11,meremees; radar; merehariduskeskus; kiirkaater; rannavalve; territoriaalvesi; päästeoperatsioon; hüdrodünaamika; liikluskontroll; veetee; amet
