EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,5,4,5,4,4,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
5,4,5,5,4,5,4,4,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
5,4,6,5,4,5,4,5,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
4,4,6,5,5,5,6,4,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
3,4,7,5,5,6,7,5,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
4,4,5,5,5,5,6,5,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
5,5,5,6,6,6,4,4,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
4,3,6,4,6,5,4,4,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
3,4,6,5,6,4,3,6,3,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
5,3,7,6,5,6,3,7,4,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
4,3,6,6,6,5,2,6,4,12,ateljee; lill; tikand; inspiratsioon; konstruktor; kollektsioon; berliin
