EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,10,4,5,6,4,7,5,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
10,7,9,4,5,7,4,7,5,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
10,7,9,4,5,7,5,8,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
10,8,8,4,5,9,8,9,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
9,8,9,6,5,10,9,8,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
8,7,9,5,6,9,7,11,6,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
8,8,9,8,6,10,8,10,7,12,jooks; võistlus; ain-alar; ujumine; johanson; sportlane; juhanson; triatlon; hawaii; ratas; ironman; distants
6,8,9,7,8,11,9,10,7,12,jooks; võistlus; ain-alar; ujumine; sportlane; johanson; juhanson; triatlon; hawaii; ratas; ironman; distants
7,8,9,7,9,10,8,8,7,12,jooks; võistlus; ain-alar; ujumine; sportlane; johanson; juhanson; triatlon; hawaii; ratas; ironman; distants
5,8,9,6,8,11,8,8,6,12,jooks; võistlus; ain-alar; ujumine; sportlane; johanson; juhanson; triatlon; hawaii; ratas; ironman; distants
7,8,9,8,8,11,8,8,8,12,jooks; võistlus; ain-alar; ujumine; sportlane; juhanson; johanson; triatlon; hawaii; ratas; ironman; distants
