EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,1,0,2,5,3,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
2,1,3,1,0,2,5,3,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
2,1,4,1,1,3,5,3,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
2,1,4,2,1,3,5,3,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
1,1,4,3,1,3,5,4,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
1,2,4,4,1,4,4,3,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
2,2,6,4,2,3,4,4,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
3,3,5,2,1,3,1,6,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
3,2,5,3,1,5,5,5,3,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
2,3,5,1,2,4,4,5,1,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
2,2,5,1,2,4,5,4,1,11,mors; vangla; põgenema; hanso; süüdistus; kamber; elmar
