EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,5,4,5,4,5,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
6,6,4,5,5,5,4,5,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
6,6,4,5,5,6,3,7,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
6,5,4,5,5,6,3,6,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
5,5,5,5,5,5,4,6,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
5,6,6,5,6,5,5,6,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
6,6,6,5,5,7,6,6,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
5,3,4,6,5,6,5,7,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
7,5,5,6,6,7,7,6,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
7,6,4,7,6,5,6,5,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
7,7,4,7,6,5,7,5,5,13,komöödia; vigane; kitzberg; kirjandus; realism; pruut; vilde; kriitiline
